15:47:03 = SEND_OVER_TIME|1530690423492|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
15:47:07 = CLIENT_CONNECTION_RUNNING_FAILED|1530690427447|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
15:47:07 = COMMUNICATOR_CONNECTION_CLOSED|1530690427447|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
19:47:22 = RECEIVE_OVER_TIME|1530704842124|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:105]<-actionPerformed[MainForm.java:240]|You can check Your net make sure you and Server in a same LAN
19:47:31 = CLIENT_CONNECTION_RUNNING_FAILED|1530704851167|Error|Error occurs in Client Connection Running|run[ClientConnection.java:469]|java.net.SocketException: Connection reset
19:47:31 = COMMUNICATOR_CONNECTION_CLOSED|1530704851167|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
19:53:41 = COMMUNICATOR_CONNECTION_CLOSED|1530705221963|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
20:00:59 = COMMUNICATOR_CONNECTION_CLOSED|1530705659055|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
20:04:16 = COMMUNICATOR_CONNECTION_CLOSED|1530705856457|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
20:10:19 = COMMUNICATOR_CONNECTION_CLOSED|1530706219493|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
20:11:00 = COMMUNICATOR_CONNECTION_CLOSED|1530706260246|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
20:11:46 = COMMUNICATOR_CONNECTION_CLOSED|1530706306217|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
20:12:58 = COMMUNICATOR_CONNECTION_CLOSED|1530706378164|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
